Movie,Worldwide Net Revenue
Alive,4299670 
The Number 23,45593167 
1941,62875000 
Dreamer: Inspired by a True Story,7498360 
Bombshell,29404394 
A History of Violence,29477797 
The Incredible Burt Wonderstone,-4607391 
The Quick and the Dead,-13447540 
Laws of Attraction,-2060409 
Bad Times at the El Royale,-821058 
Going the Distance,11603990 
Bringing Out The Dead,-15359790 
Repo Men,-13804762 
Dragon Wars: D-War,47915361 
Bogus,-27642594 
Cats Don't Dance,-28411398 
Cradle Will Rock,-29100030 
The Good German,-25321967 
George and the Dragon,-32000000 
Apocalypse Now,54472631 
Criminal,7271262 
La ch'tite famille,24213061 
42,66470701 
Flight,129558438 
Flight,129558438 
Mr. Holland’s Opus,75282604 
Moonraker,179300000 
The Grand Budapest Hotel,132503514 
Vacation,71306500 
Arachnophobia,22208180 
Isn’t it Romantic,17791187 
Frequency,37079671 
Hearts in Atlantis,-114219 
Extraordinary Measures,-15173016 
Birth of the Dragon,-23779510 
Get Shorty,84771008 
Ghostbusters,265585416 
Toy Story,335270951 
Crazy Rich Asians,207814149 
Chicago,276770545 
Big Daddy,198641283 
American Pie 2,256500000 
The Vow,167618160 
Speed,253200000 
The Hunt for Red October,170500000 
Lee Daniels' The Butler,147025498 
Remember the Titans,106771683 
District 9,182453431 
Dodgeball: A True Underdog Story,137791704 
The Addams Family,161502243 
Ace Ventura: When Nature Calls,182400000 
The Princess Diaries,135334774 
Analyze This,146885658 
The First Wives Club,151489203 
Million Dollar Baby,201928227 
Se7en,298125643 
Mystic River,126822020 
Sisters,76030660 
Pokemon: The First Movie,133644662 
SpongeBob SquarePants: The Movie,112051255 
The Notebook,85937163 
Hannah Montana: The Movie,139173206 
27 Dresses,130247805 
Rugrats in Paris,73284813 
The Hitman’s Bodyguard,153415183 
The Prince of Tides,44787599 
Four Brothers,62494381 
Legends of the Fall,130502573 
Looper,140466405 
Warm Bodies,84834312 
About Schmidt,77054484 
The Nut Job,92529966 
Down to Earth,41172251 
Babe,216100000 
Hope Springs,103085295 
Forgetting Sarah Marshall,75475310 
Friday Night Lights,31950770 
Harlem Nights,65857262 
Baby Mama,34170447 
Hope Floats,51529000 
Bride Wars,85150424 
Without a Paddle,35121280 
Midnight in Paris,132275213 
Darkest Hour,120807630 
Wallace & Gromit: The Curse of the Were-Rabbit,167593152 
"P.S., I Love You",125769678 
Corpse Bride,84770654 
Life of the Party,35859911 
Letters to Juliet,52148538 
Blow,53282296 
Message in a Bottle,22880016 
Southpaw,64156456 
Star Trek V: The Final Frontier,40200000 
Atomic Blonde,68345423 
Like Mike,32432423 
Naked Gun 33 1/3: The Final Insult,21041856 
Atonement,99779728 
A View to a Kill,122627960 
Sommersby,110081992 
Racing Stripes,59809433 
Sicario,54264182 
Black Rain,103892212 
Full Metal Jacket,15017134 
Den of Thieves,50147166 
The Three Stooges,24052249 
Pokemon 2000,103946923 
John Wick,46010510 
Glory Road,12799060 
The Age of Adaline,38984536 
Step Up 3D,135889117 
Drag Me To Hell,61388487 
The Cabin in the Woods,40683134 
Secondhand Lions,17902566 
Stranger Than Fiction,23572822 
Hanna,35343694 
Blue Crush,21618420 
30 Days of Night,50276156 
Little Shop of Horrors,8747385 
The Menu,42594363 
Gridiron Gang,11457834 
Midnight Run,51613606 
Meet the Spartans,54646831 
The Running Man,8122000 
The Family,50588942 
The 15:17 to Paris,26096200 
Mortal Kombat: Annihilation,21327406 
Larry Crowne,31449135 
Carrie,52409520 
Last Christmas,93428868 
Take the Lead,35390493 
Death Wish,18575965 
Love and Other Drugs,72716321 
Entourage,16438538 
What's the Worst That Could Happen?,8462071 
Side Effects,36742138 
9,18559999 
Deliver Us from Evil,57956618 
Get on Up,3339868 
Molly’s Game,23296424 
The Five-Year Engagement,31623819 
The Prince & Me,89110 
Winnie the Pooh,20145607 
Bulworth,-796617 
Dumb and Dumberer: When Harry Met Lloyd,-1013642 
White Boy Rick,-4052017 
Virtuosity,-6001774 
One True Thing,-3291804 
Sanctum,78957098 
My Super Ex-Girlfriend,30772856 
Ballerina,66589789 
Mr. 3000,-8172704 
Shaft,-8639785 
The Next Three Days,37255916 
Proud Mary,-8290461 
Sleepless,3296659 
Little Black Book,-8241629 
The Unbearable Weight of Massive Talent,-883680 
Assault On Precinct 13,6040895 
Nine Lives,27814445 
Runner Runner,30512680 
The Replacement Killers,-10964259 
Baahubali 2: The Conclusion,233502914 
Ultraviolet,962112 
North Country,-6323229 
Fright Night,10520649 
mother!,12531076 
Steve Jobs,5579007 
Spirit Untamed,12235744 
Eight Legged Freaks,6722311 
Fled,-10107795 
Splice,-1457506 
88 Minutes,2955399 
The Whole Ten Yards,-3676031 
Howard the Duck,-13704226 
Pride and Glory,2262866 
The Little Things,-264778 
The Cave,-2852009 
Godsend,-13126075 
Alex & Emma,-14641417 
Honest Thief,2609631 
Wicker Park,-8422924 
The New World,-3815600 
Evening,-17114426 
The Last Stand,18330757 
In Dreams,-17982631 
Wing Commander,-18421978 
Café Society,14348292 
Antitrust,-12134791 
Dead Man Down,-10400026 
Hoodwinked Too: Hood vs. Evil,-6646889 
Dragonball Evolution,26511457 
First Daughter,-19580916 
The Lost City of Z,-10641916 
An Unfinished Life,-11464425 
The Space Between Us,-13518595 
Anna,2825217 
The Imaginarium of Doctor Parnassus,34352607 
Barney's Version,-21154425 
Trapped,-22994532 
The Current War: Director’s Cut,-17130245 
Kin,-19616476 
Once Upon a Time in America,-24423928 
Johnny English Strikes Again,129369278 
Stronger,-21213713 
Gloria,-25032507 
Replicas,-20962573 
The Assassination of Jesse James by the Coward …,-14686369 
The Merchant of Venice,-11234415 
The Good Thief,-23539242 
Supercross,-26747450 
Miss Potter,5891257 
Love and Monsters,-28868317 
The Tax Collector,-28690029 
Wu ji,5869934 
Machine Gun Preacher,-26278012 
Bilal: A New Breed of Hero,-29351401 
DOA: Dead or Alive,-22244314 
Le Petit Nicolas,22339566 
Xinhai geming,-21406846 
Genghis Khan: To the Ends of the Earth and Sea,-25125502 
Wild Card,-25684211 
United Passions,-29831168 
Konferenz der Tiere,23048539 
Happy Family,809023 
Grace of Monaco,-4800109 
Overdrive,-18752720 
Savva. Serdtse voyna,-24984920 
Goodbye Bafana,-27282698 
Ripley's Game,-28307356 
Space Pirate Captain Harlock,-29689015 
Collide,-23733302 
Pitch Perfect 2,258215196 
Walk the Line,158707495 
Night School,75145633 
The Boss,49652207 
12 Monkeys,139841459 
Once Upon a Time in Mexico,68413527 
Awakenings,22636504 
Keeping the Faith,16336404 
Logan Lucky,20046121 
Florence Foster Jenkins,27000339 
The Borrowers,25045832 
Like a Boss,-2436112 
Frost/Nixon,-547055 
Seed of Chucky,-4283810 
Serving Sara,-8853850 
Confessions of a Dangerous Mind,4013805 
Blacklight,-12982904 
Taking Woodstock,-18933634 
Cry Freedom,-3100203 
Voyagers,-24868219 
Mumford,-24140431 
The Jacket,-13047022 
Aladdin,476050219 
Indiana Jones and the Temple of Doom,305080271 
Straight Outta Compton,174182981 
Girls Trip,112886353 
The Rugrats Movie,112894685 
Die Hard,111434346 
Out of Africa,230210860 
Along Came a Spider,77159085 
A Bad Moms Christmas,99710550 
Safe Haven,66050951 
The Big Short,105162752 
Scary Stories to Tell in the Dark,67592669 
Role Models,66500826 
"Alexander and the Terrible, Horrible, No Good, …",73379287 
Miracle,36474705 
Last Vegas,84914167 
The Wedding Planner,66728529 
Dawn of the Dead,75452875 
For Your Eyes Only,167300000 
Tag,49024944 
The Royal Tenenbaums,43430876 
Identity,54119036 
Serendipity,49477297 
Kick-Ass,69531134 
Zoolander,32780981 
Timecop,74053581 
Hocus Pocus,17147989 
No Reservations,63943956 
Pride & Prejudice,98549607 
30 Minutes or Less,13146935 
Dracula 2000,5000377 
Blade Runner,11538663 
Rob Roy,3390587 
3 Days to Kill,10959900 
Kick-Ass 2,35129909 
We Own the Night,27307857 
A Walk Among the Tombstones,34108587 
The Spy Next Door,18752858 
Brick Mansions,45421224 
Just My Luck,10159905 
Lost Souls,3320293 
American Ultra,2295028 
Winged Migration,11134983 
Pride and Prejudice and Zombies,-11361700 
"Mystery, Alaska",-19108377 
John Carpenter’s Ghosts of Mars,-19565399 
A Simple Wish,-19834787 
Our Brand is Crisis,-19405442 
Kundun,-22313306 
How to Lose Friends & Alienate People,-15968557 
Alatriste,-5139523 
Knocked Up,191765952 
Octopussy,160000000 
My Sister’s Keeper,69173002 
Welcome Home Roscoe Jenkins,16107627 
Joyful Noise,3657914 
A Passage to India,-312104 
Notes on a Scandal,23078411 
Rendition,-560075 
Anonymous,-11684491 
Limitless,128564919 
Star Trek VI: The Undiscovered Country,69900000 
Annabelle Comes Home,203779191 
The Divine Secrets of the Ya-Ya Sisterhood,46826768 
Kiss the Girls,33527873 
The Blues Brothers,30245093 
The Jungle Book,17342956 
The Sisterhood of the Traveling Pants 2,17270131 
Money Monster,66466095 
About a Boy,103759651 
Spy Kids: All the Time in the World,53681183 
Lake Placid,4770413 
Lucky Number Slevin,28495466 
The Right Stuff,-5499787 
Die Unendliche Geschichte,-5572056 
Dark City,257061 
The Duchess,18160110 
Case 39,1773827 
The Honeymooners,-13825574 
Return to Oz,-16381187 
The Newton Boys,-16658907 
Suspect Zero,-18276400 
Martian Child,-17647911 
Formula 51,-21795993 
Flawless,-22514515 
Mindhunters,-10433765 
What Just Happened,-24587877 
The Statement,-25454936 
Lucy in the Sky,-26674057 
The Magic Flute,-27000000 
Rules Don’t Apply,-22828552 
Paul Blart: Mall Cop,159904750 
Freaky Friday,134822438 
The 40 Year-old Virgin,150276839 
Shakespeare in Love,253500000 
Kindergarten Cop,176000000 
Pineapple Express,76404019 
Philadelphia,175324422 
Ever After: A Cinderella Story,39705772 
Flatliners,35308153 
Open Range,42613992 
Red Eye,70666486 
New Year’s Eve,120850273 
A Bridge Too Far,24800000 
Pain & Gain,55275291 
Final Destination 2,64396664 
"O Brother, Where Art Thou?",49763814 
In Good Company,37463195 
Legion,41647574 
Lawless,28393687 
Clockstoppers,12788828 
Silverado,7200000 
Brothers,19043870 
The Best of Me,15059418 
Agent Cody Banks 2: Destination London,2703083 
Bad Santa 2,-2654887 
Original Sin,-9478590 
The Raven,4601801 
Welcome to Mooseport,-11505230 
Highlander: The Final Dimension,-12261426 
Self/Less,7667319 
Motherless Brooklyn,-7522724 
The Curse of the Jade Scorpion,-7503478 
Judas and the Black Messiah,-18946051 
The Fifth Estate,-19845828 
Blood and Wine,-24916650 
Blood Ties,-23076041 
The Grimm Brothers' Snow White,-25995000 
Viy,8246770 
Accidental Love,-25864564 
The Face of an Angel,-26000000 
Flipper,5063313 
The Constant Gardener,60801599 
W.,3475778 
The Passion of the Christ,597313635 
Mrs. Doubtfire,416286003 
Rain Man,387800000 
The Help,188120004 
Hidden Figures,205677636 
Gran Torino,249543085 
Taken,201941585 
Ride Along,128733800 
The Bodyguard,386006740 
Schindler’s List,297197130 
"Legally Blonde 2: Red, White & Blonde",100339088 
Scooby-Doo 2: Monsters Unleashed,155856996 
Anchorman: The Legend of Ron Burgundy,64476265 
Up in the Air,141842739 
Freddy vs. Jason,89576403 
Bridge to Terabithia,112984788 
Jimmy Neutron: Boy Genius,77992536 
Cloverfield,146302226 
Dear John,117033509 
Teenage Mutant Ninja Turtles II: The Secret of …,53656813 
Parental Guidance,95832383 
The Untouchables,51271995 
No Country for Old Men,139035753 
Bridget Jones's Diary,252902373 
Chocolat,127500343 
Everything Everywhere All At Once,80507950 
No Strings Attached,124228078 
Contraband,73406855 
A Dog’s Purpose,178055427 
The Lucky One,71633833 
Tombstone,31505065 
Romeo Must Die,66036760 
The Omen,94295584 
Final Destination 3,87798051 
Madea’s Big Happy Family,29160818 
Tyler Perry's A Madea Christmas,27543354 
Finding Neverland,90036108 
The Grey,56249176 
Hide and Seek,98696741 
Cobra,24042224 
The House Bunny,46390601 
Agent Cody Banks,33240458 
Nanny McPhee,103745578 
Goodfellas,22103483 
The Giver,41540205 
Scarface,19942821 
Nothing To Lose,39594061 
The Last Emperor,19005435 
The Night Before,27568099 
The Beverly Hillbillies,30598481 
The Hours,72030468 
Money Talks,16076865 
There Will Be Blood,52208672 
The Wild Thornberrys Movie,35694737 
Rugrats Go Wild,30443032 
The Sisterhood of the Traveling Pants,16560117 
Undercover Brother,15796145 
August: Osage County,25738810 
Kiss of the Dragon,11833473 
Million Dollar Arm,14217912 
Beauty Shop,13351350 
Just Mercy,25394773 
What a Girl Wants,12216643 
Jeepers Creepers 2,94923801 
Peppermint,26800758 
Good Luck Chuck,35709968 
Cradle 2 the Grave,31434942 
She’s the Man,30279608 
The Gambler,13718031 
Mr. Bean’s Holiday,209981342 
Mother’s Day,27367022 
Bride of Chucky,25692188 
Fist Fight,15286416 
August Rush,39605762 
Anacondas: The Hunt for the Blood Orchid,45326393 
The Sitter,13749404 
Elizabeth,57150642 
Tora! Tora! Tora!,4548291 
Spice World,31042592 
Draft Day,4847480 
The Shawshank Redemption,3419159 
Rings,57917283 
Dance Flick,7224624 
Crocodile Dundee in Los Angeles,14393111 
Kingpin,7223424 
Ice Princess,732334 
Don't Be Afraid of the Dark,14126427 
The Losers,4863840 
Fighting,7831707 
War,15686409 
Don Juan DeMarco,-2967365 
A Lot Like Love,16921590 
He Got Game,-2588052 
The Eagle,13993548 
Shaun the Sheep,76850986 
Shark Night 3D,-6122847 
CHiPS,-1809708 
Punch-Drunk Love,-408969 
Eurotrip,-4281777 
Father Figures,-3961559 
The Ruins,-2089437 
Masterminds,5850666 
Resident Evil: Welcome to Raccoon City,16909091 
The Counselor,46009334 
Unaccompanied Minors,-3029169 
Mary Queen of Scots,23481754 
"Bright Lights, Big City",-8881923 
Half Past Dead,-5766720 
Legend,-1493763 
The Adventures of Pinocchio,11682170 
The Greatest Game Ever Played,-9531734 
The Box,9356760 
The Next Best Thing,-644238 
My Soul to Take,-8272530 
The Girl Next Door,6635150 
Fly Me To the Moon,18530281 
Maximum Risk,26702929 
Stealing Harvard,-11026468 
Hot Rod,-10628436 
Warrior,-784615 
Angela's Ashes,-11961340 
Battle of the Sexes,-6554621 
Cirque du Soleil: Worlds Away,9153101 
The 33,3287489 
Lifeforce,-13396455 
The Conspirator,-9092589 
The Powerpuff Girls,-8574299 
The Lords of Dogtown,-11575635 
Big Trouble in Little China,-13791033 
Michael Collins,2572844 
Stop-Loss,-13770965 
Gettysburg,-14268003 
Abandon,-12780633 
Straw Dogs,-13746179 
Brokedown Palace,-13884234 
Possession,-10194188 
Mrs. Winterbourne,-14960434 
Stone Cold,-15713686 
Serenity,-11991196 
The Road,4206732 
Beautiful Boy,-11685438 
The Hoax,-17835005 
A Journal for Jordan,-18317315 
Captive State,-15636790 
Sheena,-19221647 
Underclassman,-19345223 
Say It Isn't So,-19483292 
The World's Fastest Indian,-6008712 
Deception,-12149967 
Tank Girl,-20935667 
King's Ransom,-20950473 
Bill & Ted Face the Music,-18744370 
Blindness,-4947042 
Sgt. Stubby: An American Hero,-21176380 
Carnage,13112154 
Tulip Fever,-18207232 
BloodRayne,-21288367 
Legend,17425450 
Bad Lieutenant: Port of Call New Orleans,-12586051 
Jane Got a Gun,-21228655 
Me and Orson Welles,-23809997 
All My Life,-22975937 
Venom,-24118255 
Where the Truth Lies,-23584344 
Without Limits,-24219674 
On the Road,-15686698 
Les petits mouchoirs,23530887 
Love Ranch,-24853851 
Yi ge ren de wu lin,-24870885 
Sammy's avonturen: De geheime doorgang,46594792 
Matilda,-15244718 
Belka i Strelka. Zvezdnye sobaki,-15554919 
La véritable histoire du Chat Botté,-16791406 
The Professor and the Madman,-18646153 
Ironclad,-19702589 
Red Sky,-24908884 
Waterloo,-25000000 
The Adventurer: The Curse of the Midas Box,-25000000 
Reagan,-25000000 
Dangerous Liaisons,-13752421 
Star Trek IV: The Voyage Home,109000000 
Scream 2,148363301 
The Addams Family,176588546 
Where the Crawdads Sing,112539552 
Scream,114874789 
Old School,62737464 
Rocky Balboa,132229050 
Think Like a Man Too,46027933 
Fences,40282881 
The Whole Nine Yards,61527867 
Footloose,38989834 
Going in Style,56812424 
Point Break,59531958 
The Fisher King,17798224 
I Still Know What You Did Last Summer,16020622 
Hitman,75135571 
"Hello, Dolly",9208099 
Return to Me,8662299 
The Men Who Stare at Goats,43348218 
Zack and Miri Make a Porno,12856306 
Double Take,5823162 
"Girl, Interrupted",24308749 
Nurse Betty,3732366 
Piranha 3D,59660160 
Faster,11792945 
Lock Up,-1900153 
The Wiz,-2000000 
Win a Date with Tad Hamilton!,-6410171 
Muppets From Space,-7695214 
Ready to Rumble,-11627590 
Foxcatcher,-4696942 
I Don't Know How She Does It,474463 
Play it to the Bone,-15572796 
Dhoom 3,-12276380 
Beyond the Sea,-15707086 
Hauru no ugoku shiro,213814327 
Meet the Deedles,-19643874 
The Thief and the Cobbler,-23330724 
The Bridge of San Luis Rey,-22303235 
Flood,-19915768 
Annaatthe,-23552568 
Zombieland,78636596 
Star Wars Ep. V: The Empire Strikes Back,526001086 
The Waterboy,167191646 
The Naked Gun 2?: The Smell of Fear,63930411 
Green Book,296995019 
Dangerous Minds,155919401 
Bad Boys,118247413 
The Wedding Ringer,57171596 
Final Destination,89036870 
King Kong,67614445 
The Ides of March,54735925 
Pitch Black,30182088 
The Hate U Give,12067665 
Someone Like You,15684906 
Her,25043998 
Joy Ride,-795110 
Kari gurashi no Arietti,128496097 
Haywire,13374700 
Anywhere But Here,-4346385 
Vanity Fair,-3876149 
Eddie the Eagle,22060480 
Jaws 4: The Revenge,-7271665 
The Marksman,855847 
The Way Back,-8436591 
The Crew,-9980747 
Marvin's Room,-10196695 
Chasing Liberty,-10708025 
The Longshots,-11221604 
The End of the Affair,-12339853 
Harley Davidson and the Marlboro Man,-15981475 
In the Valley of Elah,1489150 
Coco avant Chanel,27813834 
Chéri,-20284343 
Redemption,-9406527 
Rogue,-18326623 
Chāi dàn zhuānjiā,35807172 
Shi Yue Wei Cheng,21195779 
Spaceballs,15419483 
1408,108763370 
Nocturnal Animals,9898681 
The Water Diviner,8554727 
Ghost,495599988 
There's Something About Mary,347884651 
The Santa Clause,168506000 
The Nun,341391647 
The Game Plan,124590987 
The Rookie,58491516 
The Bridges of Madison County,153516617 
Son of God,48949793 
The Animal,33762229 
The Hundred-Foot Journey,72270488 
Gandhi,105767889 
Underworld,73708457 
The Net,88521733 
Diary of a Wimpy Kid: Dog Days,55229695 
I Am Sam,70542418 
The Gentlemen,91152222 
Derailed,35520063 
The Informant!,19771168 
Delivery Man,33616322 
"Hail, Caesar!",42220196 
Jay and Silent Bob Strike Back,11762400 
Shadowlands,3842377 
Traitor,5882226 
Deuce Bigalow: European Gigolo,23273464 
Diary of a Wimpy Kid: The Long Haul,13609577 
Mad Money,3044057 
Homefront,29695362 
Igor,9013349 
Saving Silverman,3873142 
Summer of Sam,-2711870 
The Glass House,861785 
The Transporter Refueled,47698495 
The Island,-6283172 
Josie and the Pussycats,-7692777 
Hit & Run,-4783045 
The Little Vampire,-8439218 
I Heart Huckabees,-1965287 
"Roman J. Israel, Esq.",-9032988 
Out of the Furnace,-6565625 
RoboCop 3,-11303790 
Dudley Do-Right,-12181208 
Just Getting Started,-15243588 
Megiddo: Omega Code 2,-15952309 
Darling Lili,-17000000 
The Libertine,-12551377 
Zwartboek,5238354 
Before I Go to Sleep,-2436421 
Stone,-17934980 
Joyeux No?l,1134075 
Metegol,12061097 
Sorcerer,-9593768 
Molière,-20808846 
Michael Clayton,71487651 
Arlington Road,2919219 
My Fellow Americans,831846 
To Rome with Love,52790305 
Silver Linings Playbook,215412453 
Blockers,73523781 
Pet Sematary,90809732 
"South Park: Bigger, Longer & Uncut",31037603 
Firefox,24785720 
Death at a Funeral,27977233 
Teenage Mutant Ninja Turtles III,21273609 
Hardball,22728560 
For Colored Girls,17017873 
Freedom Writers,22632609 
The Hustle,76389568 
Kidnap,13836080 
The Transporter,22928932 
Never Back Down,18319801 
Tinker Tailor Soldier Spy,60428388 
Victoria and Abdul,47271146 
The Bachelor,15882378 
The Rage: Carrie 2,-3239756 
Swing Vote,-3410133 
Away We Go,-10891984 
Moonlight Mile,-14169043 
The Beaver,-15953962 
Bitter Harvest,-20393838 
Molly,-20982604 
Robot Overlords,-20008671 
Velvet Buzzsaw,-21000000 
Hustlers,129767919 
eXistenZ,-17859583 
The Best Little Whorehouse in Texas,49201637 
Pulse,9741435 
Raiders of the Lost Ark,347451914 
Beauty and the Beast,418656843 
Us,236022707 
Home Alone 2: Lost in New York,338994850 
Close Encounters of the Third Kind,320800479 
Beverly Hills Cop II,256665036 
La La Land,417459811 
The Conjuring,297071550 
Bringing Down the House,144675402 
Wonder,290884320 
The Silence of the Lambs,255726716 
Wayne's World,163097323 
Jackass 3D,151685793 
Bad Moms,160485601 
Glass,226999039 
Jaws 2,188900376 
Beverly Hills Chihuahua,134218168 
Halloween Kills,110851162 
Tammy,76407655 
Good Boys,91174248 
Are We There Yet?,78114471 
The Descendants,155507800 
School of Rock,111944672 
Disturbia,98537627 
Cocktail,58222753 
Free Willy,133698625 
Tyler Perry’s A Madea Family Funeral,54781999 
Tyler Perry’s Boo! A Madea Halloween,53206343 
Mortal Kombat,102133227 
White Chicks,91448997 
Obsessed,53964713 
Holes,51232214 
Tyler Perry's Madea's Witness Protection,46950887 
Halloween Ends,85016358 
The Last Song,72678948 
Why Did I Get Married Too?,40831067 
La vita è bella,209375361 
The Shack,76860808 
12 Years a Slave,160765061 
Drumline,36398875 
Me Before You,188064908 
What Men Want,49911903 
Barbershop: The Next Cut,34404202 
Edward Scissorhands,33980220 
A Simple Favor,77628717 
Selma,46776576 
A Walk in the Clouds,30008143 
Popeye,29823037 
Date Movie,65146165 
Peter Pan: Return to Neverland,89862682 
The Jungle Book 2,119924202 
Premonition,64146832 
Tyler Perry’s Boo 2! A Madea Halloween,27879572 
Boogeyman,47192859 
The Tigger Movie,76147688 
Spotlight,71902438 
Queen & Slim,27938607 
Acrimony,26627836 
Max,23658157 
Meet the Browns,21975388 
Orphan,58769428 
The Star,42634998 
Epic Movie,66858578 
Lakeview Terrace,24821299 
The Grudge 2,50743839 
Nerve,65583945 
Conan the Barbarian,59114085 
How Stella Got Her Groove Back,17672944 
Bill & Ted's Bogus Journey,17540012 
Man of the Year,21342180 
Risen,26244066 
Vampires Suck,61424988 
The Black Hole,15841901 
Selena,15782828 
The American,47950723 
A Very Harold & Kumar 3D Christmas,16265745 
Eternal Sunshine of the Spotless Mind,52401378 
Texas Chainsaw 3D,27666013 
Babel,112121212 
This is Where I Leave You,21296320 
Doubt,33191101 
Team America: World Police,30948811 
Copycat,12051917 
Scary Movie V,58613981 
She's Out of My League,28680977 
Milk,37293371 
Paint Your Wagon,11678778 
The Debt,26604054 
Ghost Ship,48349884 
Daybreakers,31445503 
The Bank Job,46143005 
Wild Things,35576210 
The Stepfather,9227561 
High Fidelity,27881663 
Stick It,10399714 
One Missed Call,24513466 
Eye for an Eye,6792700 
Street Kings,45457811 
The World's End,27124638 
From Dusk Till Dawn,5736162 
You Again,12838945 
Nancy Drew,10703845 
Alpha and Omega,28958353 
On the Basis of Sex,18794346 
Endless Love,14718173 
The Covenant,18164784 
Spiral,19519588 
Monte Carlo,19686769 
Stay Alive,7565514 
2 For the Money,10491379 
Rough Night,26844357 
Psycho,17226218 
Quigley Down Under,1413105 
To Die For,7688744 
Shorts,9870801 
Vampires,268825 
Appaloosa,7911453 
Secret in Their Eyes,12608019 
Yu-Gi-Oh,8715003 
Reign Over Me,81987 
My Best Friend's Girl,14787111 
Georgia Rule,819601 
Under the Rainbow,-1173510 
Ladyhawke,-1600000 
Into the Wild,36822960 
Simon Birch,-1689409 
Pooh's Heffalump Movie,35686944 
School for Scoundrels,-2192431 
Operation Finale,-2387901 
Silent Hill: Revelation 3D,35975672 
Home for the Holidays,2119269 
The Zookeeper’s Wife,6308749 
Fired Up,-1391430 
Kung Fu Hustle,82034104 
The Country Bears,-3011004 
Flatliners,25173738 
Dead Silence,614661 
21 Grams,39667625 
Armored,3661038 
The Kite Runner,54180745 
Paparazzi,-3387928 
A Guy Thing,-2569406 
The Greatest Story Ever Told,-4526667 
Loser,-1749894 
Twilight,-4944909 
Capitalism: A Love Story,-878469 
Lockout,13943049 
Disaster Movie,16720752 
What's Your Number?,10163785 
The Man Who Knew Too Little,-6198245 
Crank 2: High Voltage,15472739 
Burnt,16766293 
Envy,-5433754 
One Night with the King,-6274968 
Bullets Over Broadway,-6616253 
Ghost Town,9958228 
The Quiet American,6348203 
Triple 9,5943792 
The Light Between Oceans,2281732 
The Weather Man,-4533039 
Undisputed,-7601372 
12 Rounds,-2693352 
Let Me In,8270399 
3 Ninjas Kick Back,-8255040 
Be Kind Rewind,10894247 
Mrs. Henderson Presents,7836366 
Deconstructing Harry,-9313159 
Three to Tango,-9429625 
We're No Angels,-9444652 
Everyone Says I Love You,14600000 
Death Sentence,-3092169 
Popstar: Never Stop Never Stopping,-10462880 
Thank You for Your Service,-10014684 
Everybody's Fine,-10791124 
Where’d You Go Bernadette,-9155402 
Superbabies: Baby Geniuses 2,-10644631 
Battle of the Year,-3276623 
Ratchet and Clank,-5634361 
Death at a Funeral,27289148 
The Man,-9606304 
Code Name: The Cleaner,-11864976 
Inherent Vice,-5255505 
Connie and Carla,-10350961 
Machete Kills,-1726991 
Sweet Charity,-12000000 
Doogal,8058652 
Proof,-11715669 
An American Carol,-12977817 
Willard,-13117304 
Strange Wilderness,-13052916 
Little Boy,-2230701 
Topsy Turvy,-12202656 
Chasing Mavericks,-11699179 
A Most Violent Year,-11130278 
A Dangerous Method,-5192469 
A Scanner Darkly,-12594916 
Bandslam,-7032171 
Alone in the Dark,-9411921 
Birth,-5396999 
Hands of Stone,-14968025 
Tolkien,-11030773 
Passchendaele,-15546673 
Flash of Genius,-15495889 
I’m Not There,-7602387 
The Cold Light of Day,5361206 
The Brothers Bloom,-14468244 
"Synecdoche, New York",-15616462 
The Last Full Measure,-16678889 
Suspiria,-11924657 
LBJ,-17492819 
Mononoke-hime,130345863 
Bon Voyage,-11640280 
My All-American,-17754000 
Can't Stop the Music,-18000000 
The Proposition,-14686392 
Marci X,-18353336 
Equilibrium,-14654131 
Dylan Dog: Dead of Night,-13906275 
The Oogieloves in the BIG Balloon Adventure,-18934093 
The Children of Huang Shi,-11778300 
The Yards,-17717290 
Middle Men,-19245699 
Jìyì dàshī,23888531 
All Good Things,-19126383 
By the Sea,-16272254 
Steamboy,-9531133 
Un sac de billes,-5637957 
The Game of Their Lives,-19624526 
Rapa Nui,-19694930 
The Tempest,-19722057 
長江七號 (CJ7),27300771 
The Burning Plain,-18832908 
Les Couloirs du temps: Les visiteurs 2,6146072 
People I Know,-14305787 
Regression,-4175626 
Admiral,18585047 
Zambezia,14454336 
Three Kingdoms: Resurrection of the Dragon,2139590 
The Touch,-14081258 
Extinction,-17640000 
Survivor,-18296719 
Beyond Skyline,-18987632 
The History of Love,-19523376 
Butterfly on a Wheel,-20000000 
Dwegons and Leprechauns,-20000000 
Fight Valley,-20000000 
The Thousand Miles,-20000000 
How It Ends,-20000000 
Tyler Perry’s A Madea Homecoming,-20000000 
Bird Box,-19800000 
Der Baader Meinhof Komplex,-3201173 
The Shape of Water,176290794 
De rouille et d’os,9893634 
The Painted Veil,-4281205 
The Frozen Ground,-13582540 
The Devil's Double,-13134354 
Back to the Future,366510132 
Dances with Wolves,405208805 
Scary Movie,258200000 
Bad Teacher,196448997 
Sausage Party,122344255 
Sea of Love,91879513 
Just Married,82564935 
I Can Do Bad All By Myself,32733921 
A Cinderella Story,51112484 
The Shining,26601938 
Thirteen Ghosts,49467960 
House on Haunted Hill,46090541 
The Crazies,37445534 
Notorious,25972183 
Nobody’s Fool,13589493 
The Switch,30858465 
Leap Year,13618920 
The Book Thief,57086711 
